subject	session	roundn	fact	rts	response	cond
14	1	2	12	5.670000	1300.000000	0
14	1	2	20	10.250000	10500.000000	0
14	1	2	4	5.630000	1300.000000	0
14	1	2	23	12.920000	2300.000000	0
14	1	2	2	12.950000	4500.000000	0
14	1	2	6	7.450000	930.000000	0
14	1	2	18	10.900000	7400.000000	0
14	1	2	11	7.550000	1300.000000	0
14	1	2	21	17.090000	4550.000000	0
14	1	2	8	6.570000	4500.000000	0
14	1	2	22	13.840000	9900.000000	0
14	1	2	19	23.810000	2300.000000	0
14	1	2	9	12.690000	4700.000000	0
14	1	2	3	25.700000	9900.000000	0
14	1	2	16	7.710000	7400.000000	0
14	1	2	5	16.610000	4200.000000	0
14	1	2	1	10.180000	1300.000000	0
14	1	2	17	21.010000	7440.000000	0
14	1	2	14	8.720000	4700.000000	0
14	1	2	24	14.940000	2350.000000	0
14	1	2	13	8.420000	9950.000000	0
14	1	2	15	6.530000	5650.000000	0
14	1	3	22	25.250000	5450.000000	0
14	1	3	23	7.690000	1350.000000	0
14	1	3	17	10.550000	4530.000000	0
14	1	3	5	29.610000	5580.000000	0
14	1	3	2	30.390000	5580.000000	0
14	1	3	12	8.430000	1380.000000	0
14	1	3	21	30.460000	6470.000000	0
14	1	3	9	24.470000	6580.000000	0
14	1	3	3	20.120000	10250.000000	0
14	1	3	20	26.740000	5351.000000	0
14	1	3	8	10.790000	6550.000000	0
14	1	3	19	13.330000	2524.000000	0
14	1	3	1	15.140000	2124.000000	0
14	1	3	7	9.420000	7470.000000	0
14	1	3	10	4.090000	3635.000000	0
14	1	3	15	12.420000	10500.000000	0
14	1	3	16	11.440000	1305.000000	0
14	1	3	13	21.620000	8850.000000	0
14	1	3	18	10.720000	4500.000000	0
14	1	3	14	21.170000	7471.000000	0
14	1	3	11	9.300000	1030.000000	0
14	1	3	4	17.970000	1550.000000	0
14	1	3	24	14.140000	6460.000000	0
14	1	4	12	4.470000	1030.000000	0
14	1	4	4	13.830000	2420.000000	0
14	1	4	20	4.420000	10500.000000	0
14	1	4	2	9.260000	4340.000000	0
14	1	4	19	10.890000	4740.000000	0
14	1	4	21	19.340000	2150.000000	0
14	1	4	13	15.460000	8980.000000	0
14	1	4	14	6.620000	7439.000000	0
14	1	4	22	12.970000	7439.000000	0
14	1	4	11	10.270000	1031.000000	0
14	1	4	8	8.340000	7470.000000	0
14	1	4	10	4.870000	4545.000000	0
14	1	4	24	7.090000	3535.000000	0
14	1	4	23	12.960000	4545.000000	0
14	1	4	9	11.380000	4550.000000	0
14	1	4	18	3.640000	6565.000000	0
14	1	4	7	9.340000	4546.000000	0
14	1	4	1	9.070000	5858.000000	0
14	1	4	3	11.100000	10500.000000	0
14	1	4	17	8.930000	5850.000000	0
14	1	4	16	8.980000	1330.000000	0
14	1	4	15	4.980000	8989.000000	0
14	1	5	16	11.080000	1063.000000	0
14	1	5	15	5.870000	9966.000000	0
14	1	5	10	5.490000	3634.000000	0
14	1	5	9	8.490000	7333.000000	0
14	1	5	14	15.840000	5660.000000	0
14	1	5	4	10.390000	1330.000000	0
14	1	5	8	5.880000	3634.000000	0
14	1	5	20	7.230000	9966.000000	0
14	1	5	13	19.160000	8980.000000	0
14	1	5	2	7.340000	4560.000000	0
14	1	5	1	16.580000	2150.000000	0
14	1	5	11	9.960000	1030.000000	0
14	1	5	23	9.800000	2125.000000	0
14	1	5	24	8.730000	4848.000000	0
14	1	5	18	14.130000	6767.000000	0
14	1	5	7	4.490000	47470.000000	0
14	1	5	22	6.820000	9910.000000	0
14	1	5	19	8.390000	4747.000000	0
14	1	6	19	24.690000	7440.000000	0
14	1	6	1	4.990000	1340.000000	0
14	1	6	22	9.680000	9130.000000	0
14	1	6	4	9.550000	1330.000000	0
14	1	6	10	6.190000	4405.000000	0
14	1	6	14	11.150000	6560.000000	0
14	1	6	23	8.190000	2520.000000	0
14	1	6	13	5.720000	8288.000000	0
14	1	6	7	18.410000	7430.000000	0
14	1	6	18	9.140000	7439.000000	0
14	1	6	9	8.090000	6560.000000	0
14	1	6	24	14.820000	6450.000000	0
14	1	6	11	8.260000	1330.000000	0
14	1	6	2	12.720000	4733.000000	0
14	1	7	9	30.560000	6460.000000	0
14	1	7	19	40.940000	4260.000000	0
14	1	7	4	6.760000	1036.000000	0
14	1	7	24	6.210000	7439.000000	0
14	1	7	18	9.300000	7333.000000	0
14	1	7	14	16.910000	6260.000000	0
14	1	7	7	12.070000	4500.000000	0
14	1	8	14	18.620000	6200.000000	0
14	1	8	4	17.820000	2505.000000	0
14	1	8	7	8.990000	7333.000000	0
14	1	8	19	36.010000	4200.000000	0
14	1	8	9	16.870000	6800.000000	0
14	1	8	18	34.300000	7525.000000	0
14	1	9	4	19.200000	2606.000000	0
14	1	9	19	9.400000	4386.000000	0
14	1	9	14	14.580000	6206.000000	0
14	1	9	9	29.950000	4730.000000	0
14	1	10	14	18.020000	6402.000000	0
14	1	10	9	6.550000	6240.000000	0
14	1	11	9	8.790000	6240.000000	0
14	1	11	17	19.170000	7333.000000	0
14	1	11	12	6.950000	1030.000000	0
14	1	11	4	16.200000	2606.000000	0
14	1	11	1	42.610000	2570.000000	0
14	1	11	7	10.950000	7333.000000	0
14	1	11	13	11.520000	8988.000000	0
14	1	11	16	28.990000	1303.000000	0
14	1	11	6	5.390000	931.000000	0
14	1	11	15	9.660000	9989.000000	0
14	1	11	18	15.790000	7425.000000	0
14	1	11	5	14.910000	5510.000000	0
14	1	11	8	16.490000	7439.000000	0
14	1	11	24	26.720000	3680.000000	0
14	1	11	14	18.150000	9910.000000	0
14	1	11	3	22.980000	10500.000000	0
14	1	11	23	17.410000	2521.000000	0
14	1	11	11	12.680000	1330.000000	0
14	1	11	10	10.170000	4405.000000	0
14	1	11	21	45.800000	2640.000000	0
14	1	11	22	15.240000	9900.000000	0
14	1	11	2	28.990000	6400.000000	0
14	1	11	20	12.210000	9919.000000	0
14	1	11	19	12.880000	4726.000000	0
10	1	1	20	13.390000	4500.000000	0
10	1	1	17	15.490000	6500.000000	0
10	1	1	8	8.590000	3700.000000	0
10	1	1	9	10.120000	2800.000000	0
10	1	1	15	8.210000	2500.000000	0
10	1	1	12	10.830000	1033.000000	0
10	1	1	6	12.250000	2130.000000	0
10	1	1	16	9.840000	9999.000000	0
10	1	1	24	8.030000	7500.000000	0
10	1	1	13	14.110000	8899.000000	0
10	1	1	10	7.850000	2333.000000	0
10	1	1	22	5.070000	4500.000000	0
10	1	1	3	11.870000	6000.000000	0
10	1	1	5	8.440000	4700.000000	0
10	1	1	23	7.630000	2130.000000	0
10	1	1	18	8.400000	7500.000000	0
10	1	1	7	14.990000	3600.000000	0
10	1	1	1	6.510000	2130.000000	0
10	1	1	2	6.370000	4500.000000	0
10	1	1	19	7.750000	3700.000000	0
10	1	1	11	6.460000	1500.000000	0
10	1	1	21	7.250000	2130.000000	0
10	1	1	4	9.050000	4210.000000	0
10	1	1	14	7.700000	9899.000000	0
10	1	2	7	8.970000	4230.000000	0
10	1	2	9	12.640000	2233.000000	0
10	1	2	20	13.800000	4250.000000	0
10	1	2	13	23.400000	8310.000000	0
10	1	2	4	8.980000	4220.000000	0
10	1	2	21	11.810000	1300.000000	0
10	1	2	3	8.460000	4200.000000	0
10	1	2	5	6.990000	4202.000000	0
10	1	2	10	8.310000	1030.000000	0
10	1	2	22	8.890000	10899.000000	0
10	1	2	17	11.940000	9899.000000	0
10	1	2	15	10.270000	9899.000000	0
10	1	2	16	8.240000	987.000000	0
10	1	2	11	11.250000	1340.000000	0
10	1	2	6	9.140000	984.000000	0
10	1	2	1	8.470000	1031.000000	0
10	1	2	8	10.020000	2130.000000	0
10	1	2	19	7.470000	5420.000000	0
10	1	2	14	6.620000	9898.000000	0
10	1	2	2	13.070000	4202.000000	0
10	1	2	23	10.990000	4202.000000	0
10	1	3	14	18.520000	5433.000000	0
10	1	3	19	20.680000	6420.000000	0
10	1	3	8	6.660000	1050.000000	0
10	1	3	21	12.170000	931.000000	0
10	1	3	5	7.130000	4250.000000	0
10	1	3	22	12.180000	7850.000000	0
10	1	3	16	7.040000	2350.000000	0
10	1	3	23	17.780000	2400.000000	0
10	1	3	17	8.380000	4202.000000	0
10	1	3	3	11.880000	4650.000000	0
10	1	3	10	17.590000	3600.000000	0
10	1	3	20	8.040000	2136.000000	0
10	1	3	9	8.760000	4202.000000	0
10	1	3	4	8.350000	4220.000000	0
10	1	3	2	12.480000	4202.000000	0
10	1	3	1	8.700000	2130.000000	0
10	1	3	6	7.340000	1034.000000	0
10	1	3	7	18.930000	9879.000000	0
10	1	4	3	6.230000	10980.000000	0
10	1	4	1	18.560000	1320.000000	0
10	1	4	10	13.000000	4050.000000	0
10	1	4	4	5.500000	6240.000000	0
10	1	4	23	12.730000	2130.000000	0
10	1	4	17	13.170000	10589.000000	0
10	1	4	14	13.340000	4899.000000	0
10	1	4	22	7.120000	6240.000000	0
10	1	4	8	7.660000	2310.000000	0
10	1	4	7	12.300000	6500.000000	0
10	1	4	20	14.590000	7450.000000	0
10	1	4	16	8.540000	1031.000000	0
10	1	4	2	11.670000	4202.000000	0
10	1	4	5	11.050000	4250.000000	0
10	1	4	19	13.200000	6450.000000	0
10	1	4	9	8.160000	6204.000000	0
10	1	4	21	8.060000	931.000000	0
10	1	4	6	6.330000	931.000000	0
10	1	5	16	13.760000	10589.000000	0
10	1	5	14	8.680000	4520.000000	0
10	1	5	22	10.170000	6250.000000	0
10	1	5	2	7.460000	7289.000000	0
10	1	5	3	14.550000	7420.000000	0
10	1	5	5	17.810000	6250.000000	0
10	1	5	8	7.930000	2130.000000	0
10	1	5	19	12.420000	7250.000000	0
10	1	5	1	11.850000	1064.000000	0
10	1	5	10	14.500000	2310.000000	0
10	1	5	7	9.770000	7850.000000	0
10	1	5	4	5.610000	2606.000000	0
10	1	5	21	8.710000	2130.000000	0
10	1	5	17	9.060000	10589.000000	0
10	1	5	20	11.000000	5600.000000	0
10	1	5	23	14.050000	9899.000000	0
10	1	6	2	4.780000	4750.000000	0
10	1	6	8	15.310000	2130.000000	0
10	1	6	16	8.710000	10589.000000	0
10	1	6	19	10.820000	7450.000000	0
10	1	6	17	9.240000	9911.000000	0
10	1	6	3	9.330000	10589.000000	0
10	1	6	23	5.870000	9910.000000	0
10	1	6	5	14.400000	9911.000000	0
10	1	6	7	7.830000	9911.000000	0
10	1	6	22	4.880000	9111.000000	0
10	1	6	14	19.410000	5320.000000	0
10	1	6	10	6.820000	2310.000000	0
10	1	6	20	8.280000	4250.000000	0
10	1	6	1	10.650000	1035.000000	0
10	1	6	21	16.020000	2130.000000	0
10	1	7	10	12.240000	4250.000000	0
10	1	7	7	7.020000	6250.000000	0
10	1	7	14	7.740000	4500.000000	0
